name,occupation,location,coryat_score,place,air_date
Teri Garr,actor,the upcoming movie-of-the-week Fugitive Nights,6000,3,1993-11-09
Steven Weber,actor,Wings,6000,2,1992-10-28
David Duchovny,actor,Californication,11800,3,2010-02-18
Julie Bowen,actor,"Boston Legal, Lost and Modern Family",11800,3,2009-11-19
Stephen Collins,actor,7th Heaven,5900,2,1999-02-05
Carey Lowell,actor,Law & Order,5900,3,1997-05-01
Cheech Marin,comedian,Lost,11600,3,2010-05-06
Benjamin Salisbury,actor,The Nanny,5800,1,1997-04-30
Jon Lovitz,actor,the movie High School High,5800,3,1996-11-13
Zachary Quinto,actor,"24, Heroes, American Horror Story, Star Trek, and The Glass Menagerie",11400,3,2015-05-15
Jane Kaczmarek,actor,Malcolm in the Middle and Raising the Bar,11400,3,2010-05-05
Michael McKean,comedian,Hairspray and The Pajama Game,11200,2,2010-05-07
Paul McCrane,actor,ER,11200,3,2003-05-01
John Mahoney,actor,Frasier,5600,2,1996-11-11
Jane Curtin,actor,Kate & Allie and 3rd Rock from the Sun,11000,3,2010-05-07
Harry Smith,reporter,The Early Show,11000,2,2006-11-15
Ashton Kutcher,actor,That '70s Show,11000,3,2003-04-29
Charles Shaughnessy,actor,Mad Men,10800,1,2010-02-18
Carson Kressley,host,Queer Eye for the Straight Guy,10800,2,2006-11-08
Linda Park,actor,Star Trek: Enterprise,10800,3,2003-04-30
David James Elliott,actor,JAG,5400,3,1999-02-05
Alicia Witt,actor,Cybill,5400,3,1998-04-28
Robert Loggia,actor,the movie Independence Day,5400,2,1996-11-15
Regis Philbin,host,Live with Regis and Kelly,10600,1,2006-11-08
Hal Sparks,comedian,Queer as Folk,10600,1,2003-04-28
Mike Piazza,athlete,the New York Mets,5300,1,2001-02-08
Greg Gumbel,reporter,NBC Sports,5300,2,1998-01-23
Jane Kaczmarek,actor,Help Me Help You,10400,2,2006-11-09
Brandi Chastain,athlete,the U.S. Olympic Women's Soccer Team,5200,1,2001-02-09
Carol Burnett,comedian,"stage, screen and television",5200,1,1992-10-26
Rebecca Lobo,athlete,the New York Liberty,5100,1,1998-06-05
Jack Ford,reporter,Weekend Today,5100,2,1998-04-29
Anderson Cooper,reporter,CNN's Anderson Cooper 360°,10000,3,2010-03-18
Brian Dennehy,actor,the play Death of a Salesman,5000,2,1999-11-16
Jane Krakowski,actor,Ally McBeal,4900,3,2001-02-08
"Harry Connick, Jr.",musician,Hope Floats,4800,3,2001-02-05
Dan Cortese,actor,Veronica's Closet,4800,3,1998-04-27
Doug Savant,actor,Melrose Place,4800,3,1994-11-10
Neil Patrick Harris,actor,How I Met Your Mother,9400,2,2010-05-05
Joshua Malina,actor,Celebrity Poker Showdown,9400,3,2009-12-17
Bebe Neuwirth,actor,Frasier and the Broadway revival of Chicago,9400,2,2006-11-13
Kevin Sorbo,actor,Andromeda,4700,2,2001-02-08
Eric Idle,comedian,Monty Python's Flying Circus,4700,1,2001-02-07
Teri Garr,actor,Friends,4700,3,1998-03-02
Sandra Bernhard,comedian,Los Angeles,4700,2,1996-11-12
Doug Savant,actor,Desperate Housewives,9200,1,2006-11-09
Joey Gordon-Levitt,actor,3rd Rock from the Sun,4600,3,1997-04-30
Carl Lewis,athlete,"Los Angeles, California",4600,3,1996-11-13
Aisha Tyler,comedian,Archer,9000,3,2010-03-18
Michael Feinstein,musician,,4500,2,1993-11-10
Dean Cain,actor,television's Lois and Clark: The New Adventures of Superman,4500,3,1993-11-08
Mark Kelly,politician/military,"Houston, Texas",8800,2,2015-05-12
James McDaniel,actor,NYPD Blue,4400,3,1999-11-18
Tim Daly,actor,Wings,4400,3,1993-11-12
James Denton,actor,Desperate Housewives,8600,3,2006-11-13
