"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"gorilla","no context",32,2,3,4,0,423,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"CUTE AND GOOD PHOTOGRAPHY"
"gorilla","no context",32,1,1,4,1,2289,"1,2,3",4,5,4,4,4,4,4,4,4,4,4,4,"beautiful"
"loris","no context",38,2,1,4,1,359,"1,2",1,4,2,3,2,4,4,4,4,5,4,4,"cute"
"loris","no context",35,1,1,4,1,388,"2",4,5,2,5,2,2,4,4,4,5,4,4,"scientific research"
"loris","informative",49,1,1,4,1,371,"1,3,4,5",1,4,3,2,3,4,3,4,2,4,1,2,"Innocent"
"loris","informative",25,1,1,4,1,1033,"1,2,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"i think this post seeing on social platform is rare "
"gorilla","informative",32,2,1,4,1,275,"1,2",2,4,4,4,4,4,3,5,4,4,5,3,"god's creation"
"gorilla","informative",25,5,5,4,1,239,"2,3",3,3,3,3,3,3,3,3,3,3,3,3,"nice"
"loris","informative",60,2,1,4,1,394,"2,3",1,2,3,3,1,2,1,2,1,5,5,2,"sad"
"loris","no context",27,2,1,5,1,234,"1,2,3,5",1,2,3,3,1,2,2,2,1,4,2,4,"Scary"
"loris","no context",30,1,1,4,1,324,"1,2",4,2,4,4,4,4,4,4,2,5,2,4,"Beautiful"
"gorilla","no context",32,1,1,2,1,392,"1,2,3,4,5,6",5,4,5,4,4,4,4,4,4,5,4,5,"Back"
"gorilla","informative",44,1,1,4,1,260,"2",4,4,4,4,4,4,4,4,4,4,4,4,"GORILLA"
"gorilla","no context",40,1,1,4,1,512,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"I feel very wonder and happy"
"gorilla","no context",40,1,1,5,1,200,"1,2,3,4",5,5,4,5,5,4,5,4,4,5,5,5,"WILDLIFE"
"loris","no context",65,1,1,5,1,306,"1,3,5",4,3,4,3,4,3,4,4,3,4,3,4,"GOOD"
"gorilla","informative",32,1,5,4,1,213,"2",1,2,4,4,1,4,4,4,1,5,4,4,"Peace"
"gorilla","no context",32,2,1,4,1,791,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"Research"
"gorilla","no context",25,2,1,4,1,1030,"1,2,3",4,5,4,5,4,4,4,4,2,5,4,4,"The post is very nice"
"gorilla","informative",38,1,1,5,1,852,"1,2",5,4,4,4,4,4,4,4,4,4,4,4,"care for the wild animals"
