"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"loris","no context",35,1,1,4,1,1271,"2",4,3,5,2,4,4,2,4,4,4,5,5,"comment section"
"gorilla","informative",68,1,1,3,1,320,"6",1,1,5,2,1,4,1,5,1,5,2,4,"Idiot"
"loris","informative",36,1,1,4,1,435,"1,2,3",4,4,4,4,4,5,4,4,4,4,4,4,"FELT BAD ABOUT THE ANIMAL USING IN THE RESEARCH"
"gorilla","informative",49,2,1,4,1,200,"1,2,3",4,4,4,4,4,4,4,4,5,4,4,4,"gorillas"
"loris","no context",30,2,1,4,1,923,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"Research"
"gorilla","no context",60,1,6,4,1,318,"2,3",1,2,5,2,1,2,1,3,1,5,5,4,"Fear"
"gorilla","no context",60,1,6,4,1,318,"2,3",1,2,5,2,1,2,1,3,1,5,5,4,"Fear"
"loris","no context",30,2,1,4,1,416,"1,2,3,4,5",5,5,5,5,5,5,5,4,5,4,5,5,"good"
"loris","no context",30,2,1,4,1,416,"1,2,3,4,5",5,5,5,5,5,5,5,4,5,4,5,5,"good"
"gorilla","informative",25,1,1,4,1,468,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"In this post man and the gorilla looking together"
"loris","no context",35,1,1,4,1,238,"1,2",3,3,4,2,2,4,3,3,4,3,3,2,"DIFFIRENT"
"gorilla","informative",50,2,1,3,1,320,"1",4,5,5,3,1,5,1,5,1,5,2,3,"Gorilla"
"loris","no context",24,1,1,4,1,198,"1,2,3,5",2,3,4,4,3,2,2,4,4,4,2,4,"Nice "
"loris","no context",43,1,3,5,1,368,"1,2,3,5",2,2,5,5,2,1,1,2,2,5,5,5,"Wow"
"gorilla","informative",34,2,3,3,1,541,"1,2",2,3,2,4,2,4,4,4,2,5,3,4,"amazing"
"gorilla","no context",31,2,1,4,1,372,"1,2,3",1,4,4,3,1,4,4,2,1,5,4,3,"Posed"
"gorilla","no context",30,1,1,4,1,2784,"1,2,3",4,3,4,4,1,2,3,4,2,4,5,4,"wildanimal"
"gorilla","informative",32,1,4,2,1,720,"2",5,5,5,5,5,5,4,5,4,5,5,5,"gorilla"
"loris","informative",56,2,4,4,1,231,"1,2,3,4,5,6",3,3,3,4,3,3,3,4,3,3,3,3,"Wildlife conservation is important"
"loris","informative",37,1,2,4,1,292,"1,2,3",4,4,4,4,5,5,5,5,4,4,2,2,"COMES"
"gorilla","no context",30,1,2,2,1,168,"1,2",4,4,4,2,4,4,4,4,5,4,4,4,"mountain gorillas"
"loris","no context",41,2,1,4,1,1036,"2",5,4,5,5,4,5,4,5,4,5,4,5,"amazing"
"gorilla","no context",30,1,1,4,1,915,"1,2,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"gorilla one man"
"gorilla","no context",25,1,1,4,1,261,"2",1,1,1,1,1,1,1,1,1,1,1,1,"mountain gorila"
"gorilla","no context",38,6,6,3,1,430,"1",1,3,5,2,1,1,2,2,1,4,2,3,"Curiosity"
"loris","no context",42,2,4,4,1,359,"1,2,3,4,5",3,3,3,3,3,4,3,3,3,3,3,3,"That is animal"
"gorilla","no context",32,1,1,5,1,736,"2",3,4,4,5,2,4,3,4,3,5,5,5,"Gorilla"
"loris","no context",31,2,1,2,1,559,"1,2,5",1,2,2,2,2,4,2,5,2,5,4,4,"lemur"
"gorilla","no context",35,1,1,4,1,522,"2",5,4,5,4,4,5,5,4,5,5,2,5,"GORILLA LOOK"
"gorilla","no context",33,2,1,4,1,648,"1,2,3",4,4,4,5,4,4,5,4,4,5,4,5,"ANIMALS CAN PROVIDE UNEXPECTED LOVE"
"gorilla","informative",29,1,4,4,1,155,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"nice"
"loris","informative",26,1,1,5,1,234,"6",1,2,3,3,1,4,3,3,1,5,3,4,"Alien"
"loris","informative",30,1,1,4,1,283,"1,2,3,5",2,2,5,4,1,4,1,4,1,5,5,2,"conservation"
"loris","informative",41,2,1,2,1,1125,"1",1,2,4,5,2,1,4,5,1,5,4,5,"Adorable"
"loris","no context",30,1,1,4,1,182,"1,2,3",5,4,5,5,4,5,4,5,5,5,5,4,"FORGIVENESS"
"loris","no context",38,2,3,4,1,198,"2",5,4,4,5,4,4,5,4,5,5,4,4,"Wildlife"
"gorilla","informative",25,2,1,4,1,214,"1,2,3,5",4,5,4,4,4,5,5,5,5,4,4,4,"gorilla is a very helpful pet"
"gorilla","informative",35,2,1,4,1,568,"1,2,3,5",2,4,4,4,1,4,3,4,2,4,4,4,"Dominant"
"gorilla","informative",30,1,3,2,1,988,"2",5,3,5,5,1,5,2,5,5,5,5,5,"humanity"
"loris","no context",44,2,1,4,1,437,"2",5,4,5,4,5,4,5,5,5,4,4,5,"protection"
"gorilla","informative",25,2,5,4,1,245,"2",5,5,5,4,4,5,4,4,4,5,4,5,"The animal handle the safe"
"loris","no context",38,2,2,2,1,1136,"1,2,3,4,5",3,5,3,3,3,3,3,3,3,3,3,4,"nice"
"loris","no context",38,2,2,2,1,1136,"1,2,3,4,5",3,5,3,3,3,3,3,3,3,3,3,4,"nice"
"loris","informative",26,2,2,5,1,278,"1,2,3,4",4,4,4,4,4,4,5,4,4,4,4,4,"animal"
"loris","informative",26,2,2,5,1,278,"1,2,3,4",4,4,4,4,4,4,5,4,4,4,4,4,"animal"
"loris","informative",67,1,1,5,1,637,"1,2,3,4,5",4,4,5,4,5,4,5,5,5,4,4,5,"cute"
"gorilla","informative",50,1,1,5,1,1117,"1,2,3",4,4,4,5,3,4,4,5,2,5,5,5,"Animals are very important in this world"
"loris","no context",25,1,1,4,1,829,"1,2,3,4,5",4,4,4,4,3,4,5,5,3,5,5,4,"save  the animals"
"loris","no context",57,1,1,3,1,208,"1",1,3,3,2,2,2,3,4,2,4,3,3,"scared"
"loris","no context",57,1,1,3,1,208,"1",1,3,3,2,2,2,3,4,2,4,3,3,"scared"
"gorilla","informative",51,2,1,4,1,246,"1,2,3",4,4,4,4,4,4,4,5,4,4,4,4,"liked by jessd"
"gorilla","informative",51,2,1,4,1,246,"1,2,3",4,4,4,4,4,4,4,5,4,4,4,4,"liked by jessd"
"loris","informative",38,2,1,2,1,840,"1",1,4,1,3,3,3,3,1,3,4,4,5,"Cute"
"loris","informative",36,2,6,4,1,381,"1,2,3,5",4,4,4,5,2,4,4,4,2,5,4,4,"Sympathy"
"gorilla","no context",49,1,1,4,1,263,"1,2,3",4,4,4,4,3,4,4,4,4,4,4,4,"good"
"gorilla","no context",25,2,1,4,1,728,"1,2,3,4,5",5,4,4,5,2,4,4,4,2,4,4,4,"Monkey"
"loris","informative",40,1,1,5,1,194,"1,2,3,4",5,5,4,5,5,5,4,4,5,5,5,5,"WILDLIFE"
"gorilla","informative",62,2,1,4,1,249,"1",2,5,5,4,1,5,5,5,1,5,5,4,"beautiful"
"loris","no context",40,2,2,5,1,543,"2",5,5,4,5,4,2,4,5,5,5,4,4,"research subject"
"gorilla","no context",52,2,1,3,1,700,"1,3",1,2,5,5,1,4,1,4,1,5,5,4,"dangerous"
"loris","informative",32,2,1,4,1,494,"1,2,3",5,5,4,5,5,5,5,4,5,5,5,5,"Good post help animals "
"loris","no context",38,2,1,4,1,892,"1,2,3,4,5",3,4,4,4,4,3,4,4,4,4,4,4,"That Was Cute"
"loris","no context",40,2,1,2,0,178,"2,3,4",5,5,5,5,5,5,5,5,5,5,5,5,"ANIMAL SAFTY"
"loris","informative",26,2,1,4,1,643,"1,2,3",1,4,2,5,4,1,2,5,2,5,5,4,"USED IT FOR RESEARCH WITH THE PROPER PERMITS AND TRAINING"
"loris","informative",47,2,1,4,1,308,"2",4,4,5,5,4,4,4,4,4,4,4,5,"AMAZING"
"loris","informative",65,2,1,4,1,310,"1,2,3",1,4,3,4,2,4,2,3,2,5,4,3,"Eyes"
"gorilla","informative",37,2,1,4,1,551,"1,2,3,4,5",2,4,2,4,4,3,4,4,2,4,4,4,"INTRESTING"
"gorilla","no context",47,2,2,4,1,256,"1,2,3",3,4,2,4,1,4,2,5,1,5,4,4,"Interesting"
"loris","informative",63,1,1,4,1,465,"1,3",1,4,4,4,1,4,4,5,2,5,5,5,"beautiful"
"gorilla","informative",63,2,5,4,1,419,"1,3",4,1,4,3,1,3,1,5,1,5,2,3,"animal  preservation "
"gorilla","informative",63,2,5,4,1,419,"1,3",4,1,4,3,1,3,1,5,1,5,2,3,"animal  preservation "
"gorilla","no context",25,2,1,4,1,816,"2",4,4,2,4,4,4,4,5,5,4,4,4,"NICE"
"gorilla","no context",25,2,1,4,1,816,"2",4,4,2,4,4,4,4,5,5,4,4,4,"NICE"
"gorilla","no context",40,1,3,4,1,335,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"monkey"
"gorilla","informative",32,2,1,4,1,420,"1,2",3,4,5,5,4,5,4,5,4,4,4,4,"Mountain gorillas in My Research"
"gorilla","no context",46,2,1,4,1,1001,"1,2,3",4,4,4,4,4,4,4,4,2,2,4,4,"wild life"
"gorilla","no context",52,1,1,4,1,280,"1,2,3,5",1,4,4,4,1,5,2,4,1,5,5,4,"Incredible"
"gorilla","informative",36,1,1,4,1,226,"1,2,3,4,5,6",4,5,4,4,4,5,4,5,4,4,4,4,"angry this gorilla"
"loris","informative",25,1,1,4,1,354,"1,2,3,4,5",5,5,4,5,5,5,4,4,4,5,4,4,"AMAZING"
"gorilla","informative",30,1,1,4,1,1791,"1,2",4,4,4,4,2,4,4,5,3,4,4,4,"wildlife"
"gorilla","no context",49,1,6,4,1,847,"1,2,3,5",4,5,4,5,1,4,2,4,1,4,4,4,"Cute"
"gorilla","no context",30,2,1,4,1,1684,"1,2,3",4,4,5,4,4,5,4,5,4,4,5,5,"Research"
"loris","informative",56,1,1,4,1,446,"1,2,3,5",1,3,2,3,2,4,4,4,4,5,3,4,"adorable"
"loris","no context",69,2,3,4,1,503,"1,2,3",1,2,4,5,2,2,2,4,1,5,4,1,"strange"
"loris","informative",41,1,1,4,1,627,"1,2,3,5",5,5,1,5,4,1,5,5,2,5,5,5,"Pet"
"loris","informative",58,2,2,4,1,274,"1,2,3",5,5,4,5,4,4,4,5,4,4,4,5,"Wildlife"
"loris","informative",29,2,2,3,1,340,"1,2,3,5",1,1,2,2,1,1,1,4,1,3,1,1,"screech"
"gorilla","no context",32,1,1,4,1,291,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"Big"
"loris","informative",24,1,1,4,1,290,"1,2,3",4,5,5,5,4,4,4,5,5,5,5,5,"Research"
"loris","no context",36,1,1,4,1,444,"1,2,3",4,4,4,4,5,4,2,5,4,4,5,4,"The health of the animal is weak and it not enough to get food "
"gorilla","informative",53,1,1,5,1,235,"1,3,5",3,2,4,2,1,4,1,4,1,4,3,4,"Gorilla"
"gorilla","no context",25,2,1,4,1,342,"1,2,3,4,5",5,5,5,5,4,4,4,5,5,4,4,4,"WILD LIFE GORILLA"
"loris","no context",55,1,1,5,1,398,"1",1,3,3,1,1,1,2,4,1,4,1,3,"strange"
"loris","no context",55,1,1,5,1,398,"1",1,3,3,1,1,1,2,4,1,4,1,3,"strange"
"loris","no context",30,1,1,4,1,90,"1,2,3",5,5,5,5,5,5,4,5,5,4,4,4,"anuimal"
"loris","no context",30,1,1,4,1,90,"1,2,3",5,5,5,5,5,5,4,5,5,4,4,4,"anuimal"
"loris","no context",25,1,1,4,1,366,"1,2,3,4,5",5,4,4,4,5,5,5,4,5,5,4,5,"FOREST"
"loris","informative",40,1,2,2,1,215,"1,2,3,4",5,4,4,4,4,4,5,4,4,4,5,4,"Back"
"loris","no context",35,1,1,4,1,1058,"1",4,4,4,2,4,4,3,3,4,3,4,3,"rechear the human"
"loris","no context",22,1,1,4,1,240,"1,2,3",4,4,4,4,5,4,2,4,4,4,2,4,"sad"
"gorilla","no context",25,2,1,4,1,993,"1,2,3",4,4,4,5,5,4,4,5,4,4,5,4,"i think this pic will good to see"
"gorilla","no context",37,1,1,3,1,303,"1,2,3,4,5",4,4,4,5,2,4,4,4,3,5,4,4,"Nature"
"gorilla","informative",38,1,1,4,1,555,"1,2,3,4,5",1,4,2,4,4,3,4,3,1,4,4,5,"WILDLIFE ANIMALS"
"loris","no context",42,2,1,5,1,241,"1,2,3",1,2,3,3,1,2,2,4,1,5,4,3,"sympathy"
"loris","no context",34,2,1,2,1,1199,"1,2,3,5",2,4,2,5,5,4,4,5,4,5,5,4,"cute"
"loris","no context",30,1,1,4,1,172,"2",4,5,4,4,4,4,4,4,4,5,5,5,"mark"
"gorilla","no context",61,2,1,4,1,359,"1,2,3",5,5,4,4,4,4,4,4,4,4,5,4,"Interesting"
"loris","no context",21,1,1,3,1,243,"2",1,2,4,3,2,4,2,4,1,5,2,3,"Frail"
"gorilla","no context",27,2,1,5,1,227,"1,2,3",1,2,2,2,1,4,1,3,1,4,2,4,"Confrontation"
"gorilla","informative",27,2,1,4,1,214,"2",5,4,5,4,4,5,4,5,5,5,5,5,"mountain gorilla"
"gorilla","informative",32,2,1,5,1,284,"1,2,3",2,3,2,4,4,3,4,4,2,4,4,3,"amazing"
"loris","informative",32,2,1,4,1,502,"2",5,4,4,5,5,5,5,5,4,4,5,4,"monkey"
"gorilla","informative",54,1,3,5,1,377,"1,2,3",5,5,4,5,5,4,4,5,5,5,5,4,"good and enjoy in the animal"
"loris","no context",46,2,1,5,1,421,"1,2,3,5",2,4,3,5,2,2,4,2,2,5,5,4,"Sad"
"loris","informative",44,1,1,3,1,189,"1,2",1,2,3,2,1,2,2,4,1,4,1,2,"boring"
"loris","informative",67,2,1,2,1,437,"1,3",1,4,3,3,1,4,3,4,1,5,5,3,"sad"
"loris","no context",35,2,1,4,1,701,"1,2",4,4,4,4,4,4,4,4,5,5,5,4,"ME WITH MY RESEARCH SUBJECT"
"loris","no context",32,2,1,4,1,642,"1",4,4,5,4,4,4,4,4,3,4,4,4,"fdear"
"gorilla","no context",54,2,6,4,1,293,"2,3",1,1,4,1,1,2,1,3,1,3,1,1,"fake"
"gorilla","informative",35,1,4,4,1,174,"1,2",5,4,4,4,4,4,3,4,4,5,2,2,"good"
"loris","informative",36,2,4,5,1,251,"1,2,4",2,4,4,4,4,2,5,4,4,5,3,5,"Different creature"
"gorilla","informative",26,1,1,4,1,376,"2",4,4,4,4,4,4,4,4,4,4,4,4,"Mountain gorilla"
"gorilla","no context",27,2,1,4,1,227,"1,2,3,5",1,4,3,3,1,4,4,2,1,5,3,4,"wow"
"gorilla","no context",49,1,1,3,1,407,"6",4,3,3,4,1,2,1,1,1,5,2,4,"awe"
"loris","informative",38,1,1,2,1,659,"2,3",4,4,4,5,4,4,4,5,4,4,4,4,"BEST TRAINING"
"loris","no context",40,1,2,2,1,316,"1,2,3",4,4,5,4,5,5,5,5,5,4,4,5,"GOODS"
"loris","informative",47,1,1,4,1,272,"2",4,4,4,4,4,4,4,4,3,3,4,4,"this picture is nice"
"loris","informative",47,1,1,4,1,272,"2",4,4,4,4,4,4,4,4,3,3,4,4,"this picture is nice"
"gorilla","no context",25,2,1,4,1,322,"1,2,3",4,4,4,5,4,4,4,5,4,5,4,5,"me with wild monkey"
"gorilla","no context",25,2,1,4,1,322,"1,2,3",4,4,4,5,4,4,4,5,4,5,4,5,"me with wild monkey"
"loris","no context",38,2,1,5,1,259,"1,2",2,4,4,3,2,5,1,2,2,5,3,1,"Loris"
"loris","no context",41,2,3,5,1,205,"1,2",4,5,4,4,4,5,4,5,4,4,4,4,"Nature "
"gorilla","informative",23,2,1,4,1,349,"1,2,3,5",3,4,4,3,1,4,2,5,1,4,4,3,"gorilla "
"gorilla","no context",46,1,3,4,1,202,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"GOOD"
"gorilla","informative",25,2,1,4,1,705,"1,2,3,4,5",4,4,4,4,2,2,2,4,2,4,4,4,"cute"
"loris","informative",24,1,1,4,1,135,"1,2,3",1,4,2,4,1,4,4,5,1,4,1,4,"Anmal"
"loris","no context",33,1,1,4,1,1036,"1,3",5,4,4,2,4,4,3,4,1,5,4,4,"cute"
"gorilla","no context",42,1,3,5,1,697,"1,2,3,4",4,5,4,4,4,4,4,4,5,5,4,4,"good look"
"loris","informative",37,2,1,2,1,610,"1",3,3,3,3,3,3,3,3,3,3,3,3,"None "
"gorilla","informative",25,2,1,4,1,503,"1,2,3",4,4,4,5,4,4,4,4,4,5,5,5,"Chimpanzee"
"gorilla","informative",25,2,1,5,1,397,"1,2,3",5,4,5,4,4,4,4,4,4,4,4,4,"all animals are observed safely"
"loris","no context",25,2,1,4,1,1730,"2",4,4,4,4,3,4,4,4,4,5,4,5,"Its looks like difficult"
"gorilla","no context",35,1,3,4,1,187,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"yes"
"gorilla","informative",58,2,1,4,1,352,"1,2,3,5",1,4,5,3,1,5,2,5,1,5,4,5,"Care"
"loris","informative",60,1,4,4,1,884,"2,3",4,4,4,5,4,4,4,2,5,4,2,4,"butifull"
"loris","no context",52,1,1,4,1,244,"6",1,2,3,2,2,1,2,3,1,5,1,2,"The animal is cute"
"gorilla","informative",39,2,1,4,1,965,"1,2,3,4,5",4,4,3,5,4,4,4,5,2,4,4,5,"Natural Photography"
"gorilla","informative",53,1,1,5,1,498,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,5,"good"
"loris","informative",47,1,1,4,1,158,"1,2",4,4,4,4,2,4,4,4,4,4,2,4,"happy"
"loris","informative",56,1,1,4,1,518,"1,2,3,4",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"gorilla","informative",25,2,1,4,1,327,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,5,"i like gorilla very much i also want  to see gorilla very near "
"loris","informative",30,1,1,4,1,493,"2",4,4,4,5,5,5,5,5,5,4,4,4,"animal"
"gorilla","informative",40,1,1,2,1,321,"1,2",5,5,5,4,5,5,5,5,5,5,5,5,"PET"
"gorilla","no context",29,1,1,5,1,267,"1,2,3",4,4,2,4,4,4,4,4,4,5,3,4,"interesting"
"loris","no context",35,2,1,4,1,194,"1,2",2,4,4,4,4,4,4,4,4,4,4,4,"happy"
"loris","informative",47,2,1,5,1,360,"1,2,3,5",4,5,5,4,5,4,5,4,4,4,4,4,"research "
"gorilla","informative",37,1,1,4,1,128,"1,2,3,5",5,5,5,5,5,5,5,5,5,5,5,5,"the man see the gorilla"
"gorilla","informative",30,2,1,2,1,443,"1,2",5,5,4,4,4,4,5,4,4,4,5,4,"gorilla"
"gorilla","no context",34,1,1,2,1,565,"1",1,2,5,4,1,4,1,4,1,5,3,5,"wildlife"
"loris","no context",32,2,1,4,1,301,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"very nice "
"gorilla","informative",42,2,2,5,1,255,"1,5",1,4,4,3,1,4,1,4,1,5,2,2,"interference"
"gorilla","no context",26,2,4,4,1,780,"1,2,5",2,4,4,4,3,5,4,4,2,4,3,4,"Majestic"
"loris","informative",37,2,1,5,1,393,"1",1,4,5,3,1,4,1,5,1,5,4,3,"science"
"gorilla","informative",46,2,1,4,1,2093,"1,2,3",4,4,4,5,5,4,4,4,4,4,5,5,"gorillas"
"loris","informative",63,2,1,4,1,265,"1,2,5",4,4,4,4,4,4,4,4,5,4,4,4,"save would animals"
"loris","informative",43,2,1,4,1,448,"1,2",4,2,4,2,4,4,4,4,2,4,4,4,"happly"
"gorilla","no context",25,2,5,4,1,171,"1,2,3",4,4,3,4,4,4,4,4,4,4,4,4,"nice"
"loris","informative",25,1,1,4,1,301,"1,2,3,4,5",1,5,5,5,5,5,5,5,5,5,5,5,"nice"
"gorilla","no context",32,2,1,4,1,551,"1",1,2,3,3,1,2,1,3,1,5,4,3,"wild"
"loris","informative",70,1,1,2,1,690,"1",4,4,5,4,4,1,4,4,1,4,4,4,"great"
"gorilla","informative",43,2,1,5,1,416,"1,2,3,5",2,3,4,5,1,1,5,5,1,5,3,4,"goriillas"
"loris","no context",30,2,4,5,1,163,"2",5,4,4,5,5,5,4,5,5,5,4,4,"very good"
"gorilla","informative",45,2,1,4,1,149,"1,2,5",4,5,4,5,4,4,5,4,4,4,5,4,"Delightful"
"loris","no context",26,1,1,5,1,208,"1,2,3",5,5,4,5,5,5,5,4,5,5,4,4,"good ones"
"loris","informative",38,1,6,4,1,591,"1,2,3",5,5,5,5,5,5,3,5,5,5,5,5,"SO CUTE PET"
"gorilla","no context",39,2,1,4,1,343,"2,3",1,2,5,5,1,4,1,3,1,5,4,5,"connection"
"loris","informative",21,2,1,4,1,505,"2",3,3,3,3,3,3,3,3,3,3,3,3,"good"
"loris","informative",21,2,1,4,1,505,"2",3,3,3,3,3,3,3,3,3,3,3,3,"good"
"loris","informative",21,2,1,4,1,505,"2",3,3,3,3,3,3,3,3,3,3,3,3,"good"
"gorilla","no context",28,2,1,3,1,333,"1,2,3,5",1,4,4,4,1,4,3,3,1,5,4,4,"dangerous"
"gorilla","informative",39,1,1,5,1,347,"6",1,3,4,4,2,1,4,4,2,5,4,4,"Intriguing"
"gorilla","informative",53,1,1,4,1,355,"1",1,3,3,3,1,3,3,5,1,5,4,4,"Wildlife"
"loris","informative",35,2,2,4,1,242,"1,2,3",2,4,2,5,1,2,5,5,1,5,5,5,"Research"
"loris","informative",34,2,1,4,1,300,"1,2,5",5,4,5,4,5,2,5,5,5,4,4,4,"ALL ANIMALS WERE CAPTURED AND HANDLED SAFLEY AND HUMANELY FOR RESERCH WITH THE PROPER PERMITS AND TRAINING "
"gorilla","informative",35,2,1,4,1,204,"1,2,3",2,4,4,4,3,5,4,5,1,5,4,5,"Humane"
"loris","informative",32,1,1,4,1,376,"2",5,5,2,4,5,2,4,5,4,4,2,5,"uglly"
"loris","informative",42,1,1,4,1,566,"1",5,4,4,4,4,5,4,2,2,5,4,4,"good"
"loris","informative",63,1,1,5,1,433,"1,3",2,3,3,3,1,4,2,4,1,5,4,4,"odd"
"loris","no context",35,2,1,2,1,417,"1,2",3,4,4,4,3,4,3,3,2,4,4,4,"nothing"
"loris","no context",28,1,4,4,1,649,"1,2,3",4,4,4,5,3,4,4,5,2,5,5,5,"i like natural animal and  support the nature"
"loris","no context",25,2,1,4,1,196,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"animal"
"gorilla","informative",25,1,1,2,1,593,"2",5,5,5,5,5,5,5,5,5,5,5,5,"monkey"
"gorilla","informative",39,2,1,4,1,273,"1,2,3",4,5,4,4,4,4,4,4,4,4,4,4,"Its very interesting to see it"
"gorilla","no context",30,1,6,4,1,485,"2",5,2,4,5,5,4,4,4,4,5,4,5,"nature"
"loris","no context",33,1,1,3,1,222,"1,2",1,4,4,4,2,4,4,4,2,4,4,4,"heartwarming"
"loris","no context",51,2,1,4,1,287,"2",2,4,2,4,4,2,4,4,2,4,4,4,"worry"
"loris","no context",37,1,1,3,1,788,"6",1,1,4,3,4,3,3,4,3,4,3,3,"cute"
"gorilla","informative",44,2,1,5,1,569,"1,2,3",4,4,4,5,4,4,4,4,4,5,4,5,"Mountain and Gorilla"
"loris","no context",30,1,1,5,1,126,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"animal"
"loris","no context",30,1,1,4,1,210,"1,2,3",5,5,5,5,4,4,4,5,5,5,4,5,"instagram post"
"gorilla","no context",25,1,1,5,1,1038,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,4,"i like that gorilla"
"gorilla","no context",56,2,1,3,1,459,"1",1,4,3,3,1,1,2,4,1,5,5,4,"Nature"
"gorilla","informative",22,1,1,2,1,136,"1,2,3,5",2,2,3,3,1,4,2,4,1,4,1,3,"Wildlife"
"loris","informative",32,2,1,5,1,774,"2",3,4,4,5,3,4,3,5,3,5,5,4,"Wildlife"
"loris","no context",25,2,1,4,1,231,"1,2,3",2,4,2,4,4,2,4,2,4,4,4,4,"GORILLA"
"loris","no context",30,2,2,3,1,246,"2",4,4,4,4,4,4,4,4,4,4,4,4,"GOOD"
"loris","no context",34,1,4,4,1,231,"1,2,3",5,5,5,5,5,5,5,5,4,5,5,5,"Excellent"
"loris","no context",40,1,5,2,1,188,"1,3",1,1,4,1,1,3,1,1,1,3,3,3,"It has large eyes"
"loris","informative",30,1,1,4,1,238,"2",4,5,4,5,5,4,5,4,5,5,5,4,"caring"
"gorilla","no context",44,1,3,5,1,1319,"1,2,3,4",4,4,5,4,4,5,4,4,5,4,5,4,"grt"
"loris","no context",30,1,1,4,1,132,"2",1,1,1,1,1,1,1,1,1,1,1,1,"animal"
"loris","informative",56,2,1,3,1,326,"1,2,3",1,4,4,3,1,1,1,5,1,5,3,4,"rescue"
"gorilla","informative",32,2,1,4,1,480,"2",5,2,2,4,2,1,4,2,2,2,4,2,"its amazing looking"
"loris","informative",34,1,1,3,1,473,"2,3,5",1,4,3,5,3,1,3,5,3,5,5,5,"Animal"
"loris","no context",35,2,4,4,1,216,"1,2,3,4,5",3,1,3,4,3,3,3,3,3,4,4,4,"good"
"loris","informative",22,2,6,2,1,487,"1,2,5",1,2,3,4,3,3,2,4,2,4,4,4,"adorable"
"gorilla","informative",47,2,1,4,1,492,"1,2",4,4,4,4,3,4,4,3,3,3,4,3,"MAN SEE THE GORILLA"
"loris","no context",25,1,6,4,1,690,"3",3,4,2,3,3,3,4,3,3,4,3,4,"INNOCENCE"
"gorilla","informative",40,2,1,4,1,727,"1,2,3",4,4,4,4,5,4,4,5,4,4,4,4,"GORILLA"
"gorilla","informative",38,1,1,4,1,288,"1,2,3,5",3,4,3,4,3,3,3,3,3,4,4,3,"Wildlife animal"
"gorilla","no context",39,2,3,4,1,329,"3,5",2,2,5,4,1,5,1,3,1,5,5,3,"invasive"
"gorilla","no context",31,1,1,4,1,247,"1,2,3",4,5,4,4,2,4,2,4,4,4,5,4,"good"
"gorilla","informative",30,2,1,4,1,849,"1,2,3",4,4,4,5,4,4,5,4,5,5,4,5,"Observe"
"gorilla","informative",41,1,1,5,1,1363,"1,2,3",5,4,4,5,4,4,4,4,4,5,3,5,"A man observing  one of the mountain gorillas"
"loris","no context",25,2,1,4,1,165,"1,2,3,4,5",5,5,5,4,5,5,4,4,4,4,4,4,"Very cute animal to watch "
"gorilla","no context",24,1,1,4,1,682,"1,2,3",5,4,4,4,4,4,5,4,4,4,4,5,"Resource"
"loris","no context",38,2,7,4,1,454,"1,2,3",5,4,1,5,4,4,4,4,5,5,5,4,"very cute and smoother animal"
"loris","informative",36,2,1,4,1,1106,"1,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"ITS VERY USEFUL NEWS OF THE WILDLIFE"
"gorilla","no context",48,2,1,3,1,299,"4",4,3,5,2,1,3,2,2,1,4,3,2,"gorilla"
"loris","informative",39,1,1,4,1,530,"1,2,3,5",4,4,4,4,4,4,4,2,4,4,4,4,"THE POST WAS GOOD AND KNOWLEDGEFUL INFORMATION WAS SHARED"
"loris","informative",31,1,1,4,1,183,"1",4,3,4,3,2,1,3,2,1,4,3,1,"Scary"
"gorilla","no context",34,1,2,5,1,591,"1,2,3",5,5,5,5,5,5,4,5,5,2,5,5,"nothing like this"
"gorilla","no context",31,1,1,3,1,244,"3,5",4,5,2,5,1,4,5,2,3,2,5,4,"Mysterious"
"gorilla","informative",22,2,1,2,1,511,"1,2,3,5",4,3,2,4,1,4,3,5,1,5,2,4,"Peaceful"
"loris","no context",22,1,1,4,1,270,"1,2,3",2,4,5,4,5,4,4,4,4,4,2,4,"sad"
"gorilla","informative",34,1,1,4,1,567,"1,2,5",5,5,5,5,5,5,5,5,5,5,5,1,"animals are very calm"
